fokus,topik,bahasa,level_bloom,pertanyaan,input_text,target_text
Database,Redis Caching,Indonesian,Analyzing,Bandingkan trade-off antara penggunaan Redis sebagai cache-aside pattern dengan write-through pattern untuk sistem katalog produk e-commerce.,"Level: Analyzing
Topik: Redis Caching
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan trade-off antara penggunaan Redis sebagai cache-aside pattern dengan write-through pattern untuk sistem katalog produk e-commerce.
Business Intelligence,Real-Time Analytics,Indonesian,Creating,"Rancang sebuah dashboard real-time analytics untuk perusahaan ride-sharing yang perlu memantau ketersediaan driver, pemicu surge pricing, dan waktu tunggu pelanggan di berbagai kota secara bersamaan. Sebutkan komponen utama dan alur data yang diperlukan.","Level: Creating
Topik: Real-Time Analytics
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang sebuah dashboard real-time analytics untuk perusahaan ride-sharing yang perlu memantau ketersediaan driver, pemicu surge pricing, dan waktu tunggu pelanggan di berbagai kota secara bersamaan. Sebutkan komponen utama dan alur data yang diperlukan."
Sistem Operasi,Threads dan Synchronization,Indonesia,Remembering,Apakah bounded waiting termasuk masalah liveness?,"Level: Remembering
Topik: Threads dan Synchronization
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apakah bounded waiting termasuk masalah liveness?
Web Development,JWT Authentication,Indonesian,Creating,"Rancang mekanisme refresh token JWT yang aman untuk meminimalkan risiko keamanan sambil mempertahankan pengalaman pengguna yang baik. Sertakan strategi expiration token, pendekatan penyimpanan, dan kebijakan rotasi.","Level: Creating
Topik: JWT Authentication
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang mekanisme refresh token JWT yang aman untuk meminimalkan risiko keamanan sambil mempertahankan pengalaman pengguna yang baik. Sertakan strategi expiration token, pendekatan penyimpanan, dan kebijakan rotasi."
Next.js,Next.js Internationalization (i18n),English,Creating,"Design an internationalization strategy for a Next.js blog that supports 10 languages, includes dynamic content translation, and optimizes for both SEO and performance. Outline your architecture and implementation approach.","Level: Creating
Topik: Next.js Internationalization (i18n)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design an internationalization strategy for a Next.js blog that supports 10 languages, includes dynamic content translation, and optimizes for both SEO and performance. Outline your architecture and implementation approach."
Information Retrieval,Relevance Feedback,Indonesian,Applying,Seorang pengguna mencari 'algoritma machine learning' dan menandai 3 dokumen sebagai relevan dan 2 dokumen sebagai tidak relevan. Bagaimana sistem yang menggunakan algoritma Rocchio akan menyesuaikan query vector?,"Level: Applying
Topik: Relevance Feedback
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Seorang pengguna mencari 'algoritma machine learning' dan menandai 3 dokumen sebagai relevan dan 2 dokumen sebagai tidak relevan. Bagaimana sistem yang menggunakan algoritma Rocchio akan menyesuaikan query vector?
Sistem Operasi,C-Language dan Processes,Indonesia,Remembering,Apa fungsi `wait(NULL)` dalam manajemen proses?,"Level: Remembering
Topik: C-Language dan Processes
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi `wait(NULL)` dalam manajemen proses?
Server Side,Caching with Redis,Indonesian,Creating,"Rancang arsitektur caching Redis untuk sistem leaderboard real-time yang menangani 100.000 pengguna bersamaan, mendukung update skor setiap detik, dan menampilkan 100 pemain teratas. Sertakan struktur data, konvensi penamaan key, dan strategi update.","Level: Creating
Topik: Caching with Redis
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang arsitektur caching Redis untuk sistem leaderboard real-time yang menangani 100.000 pengguna bersamaan, mendukung update skor setiap detik, dan menampilkan 100 pemain teratas. Sertakan struktur data, konvensi penamaan key, dan strategi update."
Python,Python __slots__,English,Remembering,What is the primary purpose of using __slots__ in a Python class?,"Level: Remembering
Topik: Python __slots__
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the primary purpose of using __slots__ in a Python class?
Machine Learning,Naive Bayes,Indonesian,Analyzing,Bandingkan performa Naive Bayes dengan Decision Trees untuk klasifikasi email spam. Dalam kondisi apa Naive Bayes akan mengungguli Decision Trees?,"Level: Analyzing
Topik: Naive Bayes
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan performa Naive Bayes dengan Decision Trees untuk klasifikasi email spam. Dalam kondisi apa Naive Bayes akan mengungguli Decision Trees?
Operating Systems,Virtual Memory,Indonesian,Understanding,Jelaskan bagaimana page table memungkinkan translasi dari alamat virtual ke alamat fisik.,"Level: Understanding
Topik: Virtual Memory
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan bagaimana page table memungkinkan translasi dari alamat virtual ke alamat fisik.
Data Structures,Depth First Search (DFS),English,Understanding,Explain how DFS uses a stack (either implicit through recursion or explicit) to traverse a graph.,"Level: Understanding
Topik: Depth First Search (DFS)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how DFS uses a stack (either implicit through recursion or explicit) to traverse a graph.
Manajemen Proyek TI,Proses Seleksi Proyek,English,Remembering,What are the common criteria used in IT project selection processes?,"Level: Remembering
Topik: Proses Seleksi Proyek
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What are the common criteria used in IT project selection processes?
Sistem Interaksi,Proses Desain Interaksi,Indonesian,Evaluating,Sebuah tim desain melewatkan tahap evaluasi pengguna untuk memenuhi deadline yang ketat. Evaluasi potensi risiko dan konsekuensi dari keputusan ini terhadap produk akhir.,"Level: Evaluating
Topik: Proses Desain Interaksi
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah tim desain melewatkan tahap evaluasi pengguna untuk memenuhi deadline yang ketat. Evaluasi potensi risiko dan konsekuensi dari keputusan ini terhadap produk akhir.
NLP,Question Answering Systems,English,Evaluating,"A company wants to implement a QA system for customer support. Should they choose a retrieval-based or generative-based approach? Justify your recommendation considering accuracy, response time, and maintenance costs.","Level: Evaluating
Topik: Question Answering Systems
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A company wants to implement a QA system for customer support. Should they choose a retrieval-based or generative-based approach? Justify your recommendation considering accuracy, response time, and maintenance costs."
Database,Indexing Strategies,Indonesian,Creating,"Rancang strategi indexing yang komprehensif untuk database e-commerce dengan tabel users, products, orders, dan order_items, dengan mempertimbangkan pola query dan performa write.","Level: Creating
Topik: Indexing Strategies
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang strategi indexing yang komprehensif untuk database e-commerce dengan tabel users, products, orders, dan order_items, dengan mempertimbangkan pola query dan performa write."
Python Data,Pandas DataFrame Indexing,English,Creating,"Design a custom indexing solution for a DataFrame containing time-series stock data that allows users to efficiently retrieve data using either date ranges, stock symbols, or a combination of both. Provide the implementation with appropriate index structure.","Level: Creating
Topik: Pandas DataFrame Indexing
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a custom indexing solution for a DataFrame containing time-series stock data that allows users to efficiently retrieve data using either date ranges, stock symbols, or a combination of both. Provide the implementation with appropriate index structure."
Deep Learning,Recurrent Neural Network (RNN),English,Remembering,What is the primary purpose of the hidden state in a Recurrent Neural Network (RNN)?,"Level: Remembering
Topik: Recurrent Neural Network (RNN)
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the primary purpose of the hidden state in a Recurrent Neural Network (RNN)?
Flutter,Flutter FutureBuilder,Indonesian,Evaluating,"Seorang developer menggunakan FutureBuilder di dalam method build yang dipanggil berulang kali, menyebabkan Future dieksekusi berkali-kali. Evaluasi pendekatan ini dan berikan solusi yang lebih baik.","Level: Evaluating
Topik: Flutter FutureBuilder
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Seorang developer menggunakan FutureBuilder di dalam method build yang dipanggil berulang kali, menyebabkan Future dieksekusi berkali-kali. Evaluasi pendekatan ini dan berikan solusi yang lebih baik."
Deep Learning,Vanishing Gradient Problem,English,Creating,Design a training strategy that combines at least three different techniques to prevent the vanishing gradient problem in a 20-layer convolutional neural network for image classification.,"Level: Creating
Topik: Vanishing Gradient Problem
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Design a training strategy that combines at least three different techniques to prevent the vanishing gradient problem in a 20-layer convolutional neural network for image classification.
Server Side,Backend Logging Strategy,Indonesian,Remembering,"Apa saja tingkatan log standar yang digunakan dalam sistem logging backend (misalnya DEBUG, INFO, WARN, ERROR)?","Level: Remembering
Topik: Backend Logging Strategy
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Apa saja tingkatan log standar yang digunakan dalam sistem logging backend (misalnya DEBUG, INFO, WARN, ERROR)?"
Data Structures,Array,Indonesian,Remembering,Apa yang dimaksud dengan array dalam struktur data?,"Level: Remembering
Topik: Array
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa yang dimaksud dengan array dalam struktur data?
